run_accession	experiment_accession	sample_accession	scientific_name	fastq_ftp	fastq_bytes	submitted_ftp	submitted_bytes
ERR10114863	ERX9652009	SAMEA5971600	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/063/ERR10114863/ERR10114863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/063/ERR10114863/ERR10114863_2.fastq.gz	55139720;57367057	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114863/SPM002.A0103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114863/SPM002.A0103_2.fastq.gz	48793781;50973657
ERR10114865	ERX9652011	SAMEA5971602	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/065/ERR10114865/ERR10114865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/065/ERR10114865/ERR10114865_2.fastq.gz	398424687;407961114	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114865/ZAF001.A0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114865/ZAF001.A0102_2.fastq.gz	371440374;380883005
ERR10114869	ERX9652015	SAMEA110744187	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/069/ERR10114869/ERR10114869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/069/ERR10114869/ERR10114869_2.fastq.gz	31811578;32366462	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114869/EXB037.A3701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114869/EXB037.A3701_2.fastq.gz	29828871;30400145
ERR10114870	ERX9652016	SAMEA110744188	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/070/ERR10114870/ERR10114870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/070/ERR10114870/ERR10114870_2.fastq.gz	36468429;31869330	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114870/LIB002.A0113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114870/LIB002.A0113_2.fastq.gz	31492044;26790669
ERR10114871	ERX9652017	SAMEA110744189	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/071/ERR10114871/ERR10114871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/071/ERR10114871/ERR10114871_2.fastq.gz	29250081;29157582	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114871/LIB002.A0114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114871/LIB002.A0114_2.fastq.gz	24839804;24568912
ERR10114873	ERX9652019	SAMEA110744191	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/073/ERR10114873/ERR10114873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/073/ERR10114873/ERR10114873_2.fastq.gz	25432120;25434282	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114873/LIB002.A0116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114873/LIB002.A0116_2.fastq.gz	21657856;21530782
ERR10114881	ERX9652027	SAMEA110744182	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/081/ERR10114881/ERR10114881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/081/ERR10114881/ERR10114881_2.fastq.gz	433517488;435997960	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114881/EMN005.A0101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114881/EMN005.A0101_2.fastq.gz	395065197;398002916
ERR10114885	ERX9652031	SAMEA3913298	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/085/ERR10114885/ERR10114885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/085/ERR10114885/ERR10114885_2.fastq.gz	142990143;147158714	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114885/ElMiron_A5279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114885/ElMiron_A5279_2.fastq.gz	137105105;141453026
ERR10114886	ERX9652032	SAMEA3913298	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/086/ERR10114886/ERR10114886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/086/ERR10114886/ERR10114886_2.fastq.gz	186198079;189911857	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114886/ElMiron_A5301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114886/ElMiron_A5301_2.fastq.gz	177916427;181739634
ERR14129329	ERX13531995	SAMEA5971593	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/029/ERR14129329/ERR14129329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/029/ERR14129329/ERR14129329_2.fastq.gz	78555986;75286477	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14129329/GDN001.A0102_PE50_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14129329/GDN001.A0102_PE50_2.fastq.gz	89210865;92351264
