run_accession	experiment_accession	sample_accession	scientific_name	fastq_ftp	fastq_bytes	submitted_ftp	submitted_bytes
ERR15682251	ERX15086678	SAMEA120303311	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/051/ERR15682251/ERR15682251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/051/ERR15682251/ERR15682251_2.fastq.gz	6964118;9541008	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682251/IBI_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682251/IBI_R2.fastq.gz	6894671;9485692
ERR15682256	ERX15086683	SAMEA120303316	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15682256/ERR15682256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15682256/ERR15682256_2.fastq.gz	6657630;9450131	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682256/IFII_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682256/IFII_R2.fastq.gz	6591314;9406344
ERR15682261	ERX15086688	SAMEA120303321	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/061/ERR15682261/ERR15682261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/061/ERR15682261/ERR15682261_2.fastq.gz	8948178;12862536	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682261/ITIA_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682261/ITIA_R2.fastq.gz	8864173;12803864
ERR15682264	ERX15086691	SAMEA120303324	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/064/ERR15682264/ERR15682264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/064/ERR15682264/ERR15682264_2.fastq.gz	8456444;12041415	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682264/ITIIIB_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682264/ITIIIB_R2.fastq.gz	8362839;11972126
ERR15682266	ERX15086693	SAMEA120303326	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/066/ERR15682266/ERR15682266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/066/ERR15682266/ERR15682266_2.fastq.gz	6939948;9955180	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682266/IW18_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682266/IW18_R2.fastq.gz	6865076;9901002
ERR15682271	ERX15086698	SAMEA120303331	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/071/ERR15682271/ERR15682271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/071/ERR15682271/ERR15682271_2.fastq.gz	6727412;9865506	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682271/OldIT218_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682271/OldIT218_R2.fastq.gz	6654619;9809098
ERR15682276	ERX15086703	SAMEA120303336	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/076/ERR15682276/ERR15682276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/076/ERR15682276/ERR15682276_2.fastq.gz	6226885;8626539	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682276/Soil_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682276/Soil_R2.fastq.gz	6170198;8584020
ERR15682253	ERX15086680	SAMEA120303313	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/053/ERR15682253/ERR15682253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/053/ERR15682253/ERR15682253_2.fastq.gz	7908697;11252195	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682253/IBRII_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682253/IBRII_R2.fastq.gz	7838809;11203658
ERR15682254	ERX15086681	SAMEA120303314	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/054/ERR15682254/ERR15682254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/054/ERR15682254/ERR15682254_2.fastq.gz	6159783;8606749	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682254/IceExtB_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682254/IceExtB_R2.fastq.gz	6093275;8553877
ERR15682255	ERX15086682	SAMEA120303315	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/055/ERR15682255/ERR15682255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/055/ERR15682255/ERR15682255_2.fastq.gz	4968325;7407984	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682255/IFExtB1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682255/IFExtB1_R2.fastq.gz	4909261;7364896
