run_accession	experiment_accession	sample_accession	scientific_name	fastq_ftp	fastq_bytes	submitted_ftp	submitted_bytes
ERR15682262	ERX15086689	SAMEA120303322	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/062/ERR15682262/ERR15682262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/062/ERR15682262/ERR15682262_2.fastq.gz	9163708;12908917	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682262/ITIIA_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682262/ITIIA_R2.fastq.gz	9070554;12844218
ERR15682268	ERX15086695	SAMEA120303328	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/068/ERR15682268/ERR15682268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/068/ERR15682268/ERR15682268_2.fastq.gz	6231863;9012723	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682268/Iwcoll_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682268/Iwcoll_R2.fastq.gz	6167911;8963986
ERR15682269	ERX15086696	SAMEA120303329	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/069/ERR15682269/ERR15682269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/069/ERR15682269/ERR15682269_2.fastq.gz	7313227;10440736	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682269/OldIce_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682269/OldIce_R2.fastq.gz	7239906;10385372
ERR15682274	ERX15086701	SAMEA120303334	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/074/ERR15682274/ERR15682274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/074/ERR15682274/ERR15682274_2.fastq.gz	4379788;6235540	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682274/SWColl_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682274/SWColl_R2.fastq.gz	4330567;6198167
ERR15682275	ERX15086702	SAMEA120303335	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/075/ERR15682275/ERR15682275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/075/ERR15682275/ERR15682275_2.fastq.gz	4966479;7272503	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682275/WExtB_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682275/WExtB_R2.fastq.gz	4915329;7231506
ERR15682278	ERX15086705	SAMEA120303323	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/078/ERR15682278/ERR15682278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/078/ERR15682278/ERR15682278_2.fastq.gz	4853647247;5974045068	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682278/Skin_2954.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682278/Skin_2954.R2.fastq.gz	5056794187;6265286421
ERR15682279	ERX15086706	SAMEA120303326	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/079/ERR15682279/ERR15682279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/079/ERR15682279/ERR15682279_2.fastq.gz	898708853;955746334	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682279/Body_water.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682279/Body_water.R2.fastq.gz	947226292;1006316033
ERR15682252	ERX15086679	SAMEA120303312	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15682252/ERR15682252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15682252/ERR15682252_2.fastq.gz	9866673;13977079	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682252/IBLII_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682252/IBLII_R2.fastq.gz	9769941;13915267
ERR15682257	ERX15086684	SAMEA120303317	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15682257/ERR15682257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15682257/ERR15682257_2.fastq.gz	10148193;14099913	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682257/IFI_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682257/IFI_R2.fastq.gz	10060475;14046174
ERR15682258	ERX15086685	SAMEA120303318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/058/ERR15682258/ERR15682258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/058/ERR15682258/ERR15682258_2.fastq.gz	9975815;13632444	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682258/IFLIII_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682258/IFLIII_R2.fastq.gz	9895325;13578409
ERR15682259	ERX15086686	SAMEA120303319	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15682259/ERR15682259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15682259/ERR15682259_2.fastq.gz	6379070;8910779	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682259/IFRIII_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682259/IFRIII_R2.fastq.gz	6316735;8870860
ERR15682260	ERX15086687	SAMEA120303320	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15682260/ERR15682260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15682260/ERR15682260_2.fastq.gz	7033864;9802886	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682260/ITExtB_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682260/ITExtB_R2.fastq.gz	6960919;9751764
ERR15682263	ERX15086690	SAMEA120303323	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/063/ERR15682263/ERR15682263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/063/ERR15682263/ERR15682263_2.fastq.gz	9379294;13109569	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682263/ITIIIAB_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682263/ITIIIAB_R2.fastq.gz	9304439;13059588
ERR15682265	ERX15086692	SAMEA120303325	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/065/ERR15682265/ERR15682265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/065/ERR15682265/ERR15682265_2.fastq.gz	13192709;18060413	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682265/ITIVA_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682265/ITIVA_R2.fastq.gz	13090805;17994847
ERR15682267	ERX15086694	SAMEA120303327	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/067/ERR15682267/ERR15682267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/067/ERR15682267/ERR15682267_2.fastq.gz	4102323;5787702	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682267/IW20_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682267/IW20_R2.fastq.gz	4059265;5751887
ERR15682270	ERX15086697	SAMEA120303330	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/070/ERR15682270/ERR15682270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/070/ERR15682270/ERR15682270_2.fastq.gz	3644307;5363244	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682270/OldIT1020_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682270/OldIT1020_R2.fastq.gz	3600762;5327783
ERR15682272	ERX15086699	SAMEA120303332	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/072/ERR15682272/ERR15682272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/072/ERR15682272/ERR15682272_2.fastq.gz	7355785;10544949	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682272/OldIT219_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682272/OldIT219_R2.fastq.gz	7280312;10492750
ERR15682273	ERX15086700	SAMEA120303333	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/073/ERR15682273/ERR15682273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/073/ERR15682273/ERR15682273_2.fastq.gz	5032446;6925966	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682273/OldITExtB_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682273/OldITExtB_R2.fastq.gz	4988216;6895684
ERR15682277	ERX15086704	SAMEA120303336	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/077/ERR15682277/ERR15682277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/077/ERR15682277/ERR15682277_2.fastq.gz	1830278288;1825811013	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682277/Iceman_soil.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15682277/Iceman_soil.R2.fastq.gz	1922572377;1919344032
