run_accession	experiment_accession	sample_accession	scientific_name	fastq_ftp	fastq_bytes	submitted_ftp	submitted_bytes
ERR3250144	ERX3277049	SAMEA5535685	Betula pendula	ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/004/ERR3250144/ERR3250144.fastq.gz	476425393	ftp.sra.ebi.ac.uk/vol1/run/ERR325/ERR3250144/PRI_SFCE_GUM01_RUN01_L006_R1_001.fastq.gz	498861238
ERR3250145	ERX3277050	SAMEA5535685	Betula pendula	ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/005/ERR3250145/ERR3250145.fastq.gz	362486148	ftp.sra.ebi.ac.uk/vol1/run/ERR325/ERR3250145/PRI_SFCE_GUM02_RUN01_L006_R1_001.fastq.gz	380758432
ERR3250152	ERX3277057	SAMEA5535685	Betula pendula	ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/002/ERR3250152/ERR3250152.fastq.gz	6208991975	ftp.sra.ebi.ac.uk/vol1/run/ERR325/ERR3250152/PRI_JMQP_GUM04_RUN02_L002_R1_001.fastq.gz	6340549716
ERR3250146	ERX3277051	SAMEA5535685	Betula pendula	ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/006/ERR3250146/ERR3250146.fastq.gz	202250587	ftp.sra.ebi.ac.uk/vol1/run/ERR325/ERR3250146/PRI_SFCE_GUM03_RUN01_L006_R1_001.fastq.gz	213125851
ERR3250147	ERX3277052	SAMEA5535685	Betula pendula	ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/007/ERR3250147/ERR3250147.fastq.gz	289908869	ftp.sra.ebi.ac.uk/vol1/run/ERR325/ERR3250147/PRI_SFCE_GUM04_RUN01_L006_R1_001.fastq.gz	305067626
ERR3250148	ERX3277053	SAMEA5535685	Betula pendula	ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/008/ERR3250148/ERR3250148.fastq.gz	192935976	ftp.sra.ebi.ac.uk/vol1/run/ERR325/ERR3250148/PRI_SFCE_GUM05_RUN01_L006_R1_001.fastq.gz	204333080
ERR3250149	ERX3277054	SAMEA5535685	Betula pendula	ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/009/ERR3250149/ERR3250149.fastq.gz	172890455	ftp.sra.ebi.ac.uk/vol1/run/ERR325/ERR3250149/PRI_SFCE_GUM06_RUN01_L006_R1_001.fastq.gz	182974299
ERR3250150	ERX3277055	SAMEA5535685	Betula pendula	ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/000/ERR3250150/ERR3250150.fastq.gz	3392806618	ftp.sra.ebi.ac.uk/vol1/run/ERR325/ERR3250150/PRI_JMQP_GUM02_RUN02_L002_R1_001.fastq.gz	3470538959
ERR3250151	ERX3277056	SAMEA5535685	Betula pendula	ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/001/ERR3250151/ERR3250151.fastq.gz	4745258681	ftp.sra.ebi.ac.uk/vol1/run/ERR325/ERR3250151/PRI_JMQP_GUM03_RUN02_L002_R1_001.fastq.gz	4846747840
