group,run,layout,ena_read_count,agent_total_sequences,ena_fastq_bytes,local_fastq_bytes,mean_gc_percent,mean_read_length,read_delta,byte_ratio
2–3,ERR15682270,PAIRED,56122,56122,9007551,9007551,51.903,301.0,0,1.0
4–5,ERR10114877,PAIRED,526070,526070,14871088,14871088,67.27600000000001,64.319,0,1.0
6,ERR3250149,SINGLE,4380359,4380359,172890455,172890455,52.325,81.0,0,1.0
7,ERR10114867,PAIRED,847520,847520,30647534,30647534,64.509,58.148,0,1.0
8,ERR10114861,PAIRED,4068862,4068862,71435361,71435361,47.6815,19.174,0,1.0
9,ERR15682267,PAIRED,59258,59258,9890025,9890025,54.89,301.0,0,1.0
