file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/Users/tianaoliu/Documents/vscode/2026summerproject/workspace/tasks/7a0446baab73411eac8df563436c64de/inputs/SRR29088443_1.fastq.gz	FASTQ	DNA	53571	13071324	244	244.0	244
/Users/tianaoliu/Documents/vscode/2026summerproject/workspace/tasks/7a0446baab73411eac8df563436c64de/inputs/SRR29088443_2.fastq.gz	FASTQ	DNA	53571	13446321	251	251.0	251
